Codering_3,HuishoudensTotaal_28,IndelingswijzigingWijkenEnBuurten_4,Year
BU16800000,1510,1,2021
BU16800009,65,1,2021
BU16800100,540,1,2021
BU16800109,85,1,2021
BU16800200,140,1,2021
BU16800209,25,1,2021
BU16800300,175,1,2021
BU16800309,5,1,2021
BU16800400,95,1,2021
BU16800409,10,1,2021
BU16800500,260,1,2021
BU16800509,25,1,2021
BU16800600,180,1,2021
BU16800609,5,1,2021
BU16800700,60,1,2021
BU16800709,0,1,2021
BU16800800,40,1,2021
BU16800809,0,1,2021
BU16800900,45,1,2021
BU16800909,0,1,2021
BU16801100,175,1,2021
BU16801109,0,1,2021
BU16801200,105,1,2021
BU16801209,5,1,2021
BU16801300,45,1,2021
BU16801309,10,1,2021
BU16801400,715,1,2021
BU16801401,55,1,2021
BU16801409,125,1,2021
BU16801500,795,1,2021
BU16801501,15,1,2021
BU16801509,0,1,2021
BU16801600,275,1,2021
BU16801601,10,1,2021
BU16801609,0,1,2021
BU16801700,2190,1,2021
BU16801709,70,1,2021
BU16801800,285,1,2021
BU16801801,40,1,2021
BU16801802,100,1,2021
BU16801809,85,1,2021
BU16801900,1710,1,2021
BU16801901,75,1,2021
BU16801902,25,1,2021
BU16801903,30,1,2021
BU16801908,165,1,2021
BU16801909,55,1,2021
BU16802000,260,1,2021
BU16802001,80,1,2021
BU16802008,20,1,2021
BU16802009,95,1,2021
BU16802100,105,1,2021
BU16802101,35,1,2021
BU16802109,50,1,2021
BU01411000,1335,3,2021
BU01411001,780,3,2021
BU01411002,565,3,2021
BU01411003,550,3,2021
BU01411100,530,3,2021
BU01411101,635,3,2021
BU01411102,650,3,2021
BU01411103,1025,3,2021
BU01411104,590,3,2021
BU01411105,0,3,2021
BU01411109,20,3,2021
BU01411200,570,3,2021
BU01411201,845,3,2021
BU01411202,660,3,2021
BU01411203,235,3,2021
BU01411204,30,3,2021
BU01411205,0,3,2021
BU01411206,100,3,2021
BU01411209,35,3,2021
BU01411300,700,3,2021
BU01411301,470,3,2021
BU01411302,365,3,2021
BU01411303,955,3,2021
BU01411304,140,3,2021
BU01411305,185,3,2021
BU01411309,50,3,2021
BU01411400,215,3,2021
