WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,GemiddeldInkomenPerInwoner_72,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,MateVanStedelijkheid_115
Annen,Aa en Hunze,Buurt,BU16800000,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.0984251968503935,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0
Verspreide huizen Annen,Aa en Hunze,Buurt,BU16800009,9468,65,2.3,12.0,63,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,45.1,0.46153846153846156,1.6,2.0,5.0
Eext,Aa en Hunze,Buurt,BU16800100,9463,535,2.3,730.0,534,241.0,98.0,83.0,14.0,3.0,6.0,3070.0,1760.0,2.1145833333333335,0.8032128514056225,25.9,0.19626168224299065,1.4,0.9,5.0
Verspreide huizen Eext,Aa en Hunze,Buurt,BU16800109,9463,90,1.9,11.0,50,353.0,96.0,90.0,0.0,10.0,4.0,3400.0,2170.0,2.2,1.1428571428571428,32.6,0.2777777777777778,1.3,2.1,5.0
Anloo,Aa en Hunze,Buurt,BU16800200,9467,145,2.2,578.0,145,292.0,97.0,81.0,14.0,5.0,6.0,3140.0,1960.0,2.1923076923076925,0.8955223880597015,28.1,0.2413793103448276,1.4,0.4,5.0
Gasteren,Aa en Hunze,Buurt,BU16800300,9466,170,2.3,727.0,167,317.0,96.0,93.0,4.0,2.0,5.0,3330.0,2040.0,,1.0126582278481013,32.0,0.2647058823529412,1.5,2.7,5.0
Anderen,Aa en Hunze,Buurt,BU16800400,9465,90,2.3,524.0,100,323.0,100.0,87.0,7.0,6.0,9.0,3330.0,2120.0,,0.8888888888888888,30.2,0.3333333333333333,1.8,4.2,5.0
Schipborg,Aa en Hunze,Buurt,BU16800500,9469,255,2.1,554.0,211,367.0,100.0,93.0,4.0,3.0,5.0,3170.0,2040.0,2.4390243902439024,0.9345794392523364,32.7,0.21568627450980393,1.5,1.0,5.0
Eexterveen,Aa en Hunze,Buurt,BU16800600,9658,175,2.5,353.0,180,245.0,96.0,86.0,3.0,9.0,17.0,3180.0,2000.0,,0.6666666666666666,28.7,0.2571428571428571,1.6,0.5,5.0
Spijkerboor,Aa en Hunze,Buurt,BU16800700,9656,60,2.4,691.0,64,228.0,100.0,92.0,6.0,2.0,0.0,3650.0,1730.0,1.9230769230769231,0.6451612903225806,27.3,0.16666666666666666,1.5,3.7,5.0
Nieuw-Annerveen,Aa en Hunze,Buurt,BU16800800,9657,40,2.3,218.0,40,,100.0,98.0,0.0,3.0,3.0,3280.0,2180.0,,1.0,27.3,0.375,,2.8,5.0
Oud-Annerveen,Aa en Hunze,Buurt,BU16800900,9655,50,2.3,457.0,47,,100.0,96.0,0.0,4.0,2.0,3520.0,2240.0,,0.8,30.1,0.2,1.6,2.2,5.0
Annerveenschekanaal,Aa en Hunze,Buurt,BU16801100,9654,170,2.2,662.0,185,185.0,90.0,77.0,22.0,2.0,12.0,3060.0,1780.0,,0.7692307692307693,28.0,0.23529411764705882,1.5,4.4,5.0
Eexterveenschekanaal,Aa en Hunze,Buurt,BU16801200,9659,115,2.0,389.0,106,170.0,98.0,86.0,8.0,7.0,4.0,2970.0,1650.0,,0.851063829787234,24.3,0.13043478260869565,1.4,2.2,5.0
Eexterzandvoort,Aa en Hunze,Buurt,BU16801300,9464,45,2.3,141.0,46,,96.0,91.0,7.0,2.0,7.0,3290.0,1890.0,,0.9523809523809523,32.1,0.3333333333333333,,2.9,5.0
Gasselte,Aa en Hunze,Buurt,BU16801400,9462,695,2.2,450.0,680,226.0,88.0,72.0,24.0,4.0,14.0,3060.0,1740.0,2.036036036036036,0.8637873754152824,26.2,0.16546762589928057,1.4,0.6,5.0
Kostvlies,Aa en Hunze,Buurt,BU16801401,9462,55,2.4,252.0,57,337.0,100.0,89.0,5.0,5.0,0.0,3820.0,2250.0,2.1,0.7407407407407407,35.2,0.36363636363636365,1.6,2.5,5.0
Verspreide huizen Gasselte,Aa en Hunze,Buurt,BU16801409,9462,140,1.8,17.0,39,,95.0,69.0,5.0,23.0,13.0,4060.0,2050.0,2.0,0.7692307692307693,25.1,0.2857142857142857,0.9,2.3,5.0
Gasselternijveen,Aa en Hunze,Buurt,BU16801500,9514,780,2.3,905.0,778,169.0,97.0,61.0,37.0,2.0,8.0,2940.0,1630.0,1.8652482269503545,0.7843137254901961,21.7,0.16025641025641027,1.3,0.6,5.0
Gasselternijveenschemond,Aa en Hunze,Buurt,BU16801600,9515,280,2.2,272.0,279,189.0,98.0,81.0,13.0,6.0,10.0,3190.0,1700.0,1.9795918367346939,0.8064516129032258,25.9,0.19642857142857142,1.4,1.8,5.0
Gieten,Aa en Hunze,Buurt,BU16801700,9461,2180,2.2,1191.0,2268,226.0,91.0,67.0,28.0,5.0,11.0,2790.0,1650.0,2.0170454545454546,0.8255933952528379,26.3,0.1834862385321101,1.2,0.7,4.0
Verspreide huizen Gieten,Aa en Hunze,Buurt,BU16801709,9461,65,2.1,8.0,69,369.0,100.0,99.0,1.0,0.0,9.0,3810.0,2350.0,2.5384615384615383,0.625,29.1,0.3076923076923077,1.5,2.6,5.0
Gieterveen,Aa en Hunze,Buurt,BU16801800,9511,285,2.4,1039.0,290,183.0,94.0,72.0,24.0,4.0,11.0,3160.0,1770.0,1.75,0.8695652173913043,23.8,0.19298245614035087,1.5,0.6,5.0
Nieuwediep,Aa en Hunze,Buurt,BU16801802,9512,100,2.4,242.0,101,213.0,100.0,92.0,3.0,5.0,8.0,3720.0,2050.0,1.65,0.7843137254901961,22.8,0.35,1.7,2.6,5.0
