BU_2021,BU_NAAM,WK_2021,WK_NAAM,GM_2021,GM_NAAM,ProvinciecodePV,Provincienaam
0,BU00140000,Binnenstad-Noord,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
1,BU00140001,Binnenstad-Zuid,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
2,BU00140002,Binnenstad-Oost,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
3,BU00140003,Binnenstad-West,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
4,BU00140004,Noorderplantsoen,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
5,BU00140005,Hortusbuurt-Ebbingekwartier,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
6,BU00140007,UMCG,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
7,BU00140008,Stationsgebied,WK001400,Centrum,GM0014,Groningen,PV20,Groningen
8,BU00140100,De Meeuwen,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
9,BU00140101,Oosterpoort,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
10,BU00140102,Herewegbuurt,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
11,BU00140103,Rivierenbuurt,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
12,BU00140104,Grunobuurt,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
13,BU00140105,Badstratenbuurt,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
14,BU00140106,Zeeheldenbuurt,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
15,BU00140107,Laanhuizen,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
16,BU00140108,Stadspark,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
17,BU00140109,Martini Trade Park,WK001401,Oud-Zuid,GM0014,Groningen,PV20,Groningen
18,BU00140200,Oranjebuurt,WK001402,Oud-West,GM0014,Groningen,PV20,Groningen
19,BU00140201,Noorderplantsoenbuurt,WK001402,Oud-West,GM0014,Groningen,PV20,Groningen
20,BU00140202,Schildersbuurt,WK001402,Oud-West,GM0014,Groningen,PV20,Groningen
21,BU00140203,Kostverloren,WK001402,Oud-West,GM0014,Groningen,PV20,Groningen
22,BU00140300,De Hoogte,WK001403,Oud-Noord,GM0014,Groningen,PV20,Groningen
23,BU00140301,Indische buurt,WK001403,Oud-Noord,GM0014,Groningen,PV20,Groningen
24,BU00140302,Professorenbuurt,WK001403,Oud-Noord,GM0014,Groningen,PV20,Groningen
25,BU00140400,Gorechtbuurt,WK001404,Oosterparkwijk,GM0014,Groningen,PV20,Groningen
26,BU00140401,Vogelbuurt,WK001404,Oosterparkwijk,GM0014,Groningen,PV20,Groningen
27,BU00140402,Bloemenbuurt,WK001404,Oosterparkwijk,GM0014,Groningen,PV20,Groningen
28,BU00140403,Florabuurt,WK001404,Oosterparkwijk,GM0014,Groningen,PV20,Groningen
29,BU00140404,Damsterbuurt,WK001404,Oosterparkwijk,GM0014,Groningen,PV20,Groningen
30,BU00140500,De Linie,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
31,BU00140501,Europapark,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
32,BU00140502,Eemskanaal,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
33,BU00140503,Kop van Oost,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
34,BU00140504,Woonschepenhaven,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
35,BU00140505,Driebond,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
36,BU00140506,Eemspoort,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
37,BU00140507,Euvelgunne,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
38,BU00140508,Winschoterdiep,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
39,BU00140509,Stainkoel'n,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
40,BU00140510,Roodehaan,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
41,BU00140511,Waterhuizen,WK001405,Zuidoost,GM0014,Groningen,PV20,Groningen
42,BU00140600,Sterrebosbuurt,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
43,BU00140601,Coendersborg,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
44,BU00140602,Klein Martijn,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
45,BU00140603,Villabuurt,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
46,BU00140604,Helpman,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
47,BU00140605,De Wijert,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
48,BU00140606,De Wijert-Zuid,WK001406,Helpman e.o.,GM0014,Groningen,PV20,Groningen
49,BU00140700,Corpus den Hoorn,WK001407,Zuidwest,GM0014,Groningen,PV20,Groningen
50,BU00140701,Hoornse Meer,WK001407,Zuidwest,GM0014,Groningen,PV20,Groningen
51,BU00140702,Hoornse Park,WK001407,Zuidwest,GM0014,Groningen,PV20,Groningen
52,BU00140703,Van Swieten,WK001407,Zuidwest,GM0014,Groningen,PV20,Groningen
53,BU00140704,Piccardthof,WK001407,Zuidwest,GM0014,Groningen,PV20,Groningen
54,BU00140705,Bruilweering,WK001407,Zuidwest,GM0014,Groningen,PV20,Groningen
55,BU00140800,Hoogkerk Dorp,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
56,BU00140801,Hoogkerk-Zuid,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
57,BU00140802,Westpoort,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
58,BU00140803,Vierverlaten,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
59,BU00140804,Zuidwending,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
60,BU00140805,Leegkerk,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
61,BU00140806,Gravenburg,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
62,BU00140807,Suikerfabriekterrein,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
63,BU00140808,Peizerweg,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
64,BU00140809,Bangeweer,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
65,BU00140810,De Buitenhof,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
66,BU00140811,Kranenburg,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
67,BU00140812,De Kring,WK001408,Hoogkerk e.o.,GM0014,Groningen,PV20,Groningen
68,BU00140900,Vinkhuizen-Noord,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
69,BU00140901,Vinkhuizen-Zuid,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
70,BU00140902,Hoendiep,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
71,BU00140903,Friesestraatweg,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
72,BU00140904,Reitdiep,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
73,BU00140905,Dorkwerd,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
74,BU00140906,De Held,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
75,BU00140907,Westpark,WK001409,Nieuw-West,GM0014,Groningen,PV20,Groningen
76,BU00141000,Selwerd,WK001410,Noordwest,GM0014,Groningen,PV20,Groningen
77,BU00141001,Paddepoel-Zuid,WK001410,Noordwest,GM0014,Groningen,PV20,Groningen
78,BU00141002,Paddepoel-Noord,WK001410,Noordwest,GM0014,Groningen,PV20,Groningen
79,BU00141003,Zernike Campus,WK001410,Noordwest,GM0014,Groningen,PV20,Groningen
80,BU00141004,Selwerderhof,WK001410,Noordwest,GM0014,Groningen,PV20,Groningen
81,BU00141005,Tuinwijk,WK001410,Noordwest,GM0014,Groningen,PV20,Groningen
82,BU00141100,Beijum-West,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
83,BU00141101,Beijum-Oost,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
84,BU00141102,De Hunze,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
85,BU00141103,Van Starkenborgh,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
86,BU00141104,Noorderhoogebrug,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
87,BU00141105,Het Witte Lam,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
88,BU00141106,Koningslaagte,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
89,BU00141107,Hunzeboord,WK001411,Noordoost,GM0014,Groningen,PV20,Groningen
90,BU00141200,Lewenborg-Noord,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
91,BU00141201,Lewenborg-Zuid,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
92,BU00141202,Lewenborg-West,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
93,BU00141203,Oosterhoogebrug,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
94,BU00141204,Ulgersmaborg,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
95,BU00141205,Hunzepark,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
96,BU00141206,Zilvermeer,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
97,BU00141207,Kardinge,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
98,BU00141208,Drielanden,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
99,BU00141209,Noorddijk,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
100,BU00141210,Ruischerbrug,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
101,BU00141211,Ruischerwaard,WK001412,Noorddijk e.o.,GM0014,Groningen,PV20,Groningen
102,BU00141300,Middelbert,WK001413,Meerdorpen,GM0014,Groningen,PV20,Groningen
103,BU00141301,Engelbert,WK001413,Meerdorpen,GM0014,Groningen,PV20,Groningen
104,BU00141302,Klein Harkstede,WK001413,Meerdorpen,GM0014,Groningen,PV20,Groningen
105,BU00141400,Meeroevers,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
106,BU00141401,Harkstede GN,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
107,BU00141402,Lageland GN,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
108,BU00141403,Groenewei,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
109,BU00141404,Tersluis,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
110,BU00141405,De Zeilen,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
111,BU00141406,De Wierden,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
112,BU00141500,Ten Boer Dorp,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
113,BU00141501,Buitengebied Ten Boer-Zuid,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
114,BU00141502,Garmerwolde,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
115,BU00141503,Thesinge,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
116,BU00141504,Sint Annen,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
117,BU00141505,Buitengebied Ten Boer-Noord,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
118,BU00141506,Bedrijventerrein Ten Boer,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
119,BU00141600,Ten Post Dorp,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
120,BU00141601,Lellens,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
121,BU00141602,Woltersum,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
122,BU00141603,Winneweer,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
123,BU00141604,Wittewierum,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
124,BU00141605,Buitengebied Ten Post,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
125,BU00141700,Haren-Centrum,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
