Year,BU_2021,BU_NAAM,WK_2021,WK_NAAM,GM_2021,GM_NAAM,ProvinciecodePV,Provincienaam,Aantal aansluitingen met opwekinstallatie,Opgesteld vermogen,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,GemiddeldInkomenPerInwoner_72,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,MateVanStedelijkheid_115,OV_per_installatie,Opgesteld_vermogen_per100houshoudens,PVinstallaties_per100houshoudens
2018,BU16800000,Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,308.0,1068.0,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0,3.4675324675324677,71.67785234899328,20.671140939597315
2017,BU16800000,Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,191.0,726.0,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0,3.8010471204188483,48.7248322147651,12.818791946308725
2016,BU16800000,Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,128.0,504.0,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0,3.9375,33.8255033557047,8.590604026845638
2019,BU16800000,Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,392.0,1611.0,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0,4.10969387755102,108.12080536912751,26.308724832214764
2020,BU16800000,Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,491.0,2045.0,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0,4.164969450101833,137.248322147651,32.95302013422819
2021,BU16800000,Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,631.0,2794.0,9468,1490,2.3,1367.0,1552,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,27.7,0.174496644295302,1.3,0.8,5.0,4.427892234548336,187.51677852348993,42.348993288590606
2018,BU16800009,Verspreide huizen Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,11.0,51.0,9468,65,2.3,12.0,63,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,45.1,0.4615384615384615,1.6,2.0,5.0,4.636363636363637,78.46153846153847,16.923076923076923
2017,BU16800009,Verspreide huizen Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,8.0,37.0,9468,65,2.3,12.0,63,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,45.1,0.4615384615384615,1.6,2.0,5.0,4.625,56.92307692307692,12.307692307692308
2016,BU16800009,Verspreide huizen Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,7.0,28.0,9468,65,2.3,12.0,63,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,45.1,0.4615384615384615,1.6,2.0,5.0,4.0,43.07692307692308,10.76923076923077
2019,BU16800009,Verspreide huizen Annen,WK168000,Wijk 00 Annen,GM1680,Aa en Hunze,PV22,Drenthe,26.0,230.0,9468,65,2.3,12.0,63,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,45.1,0.4615384615384615,1.6,2.0,5.0,8.846153846153847,353.84615384615387,40.0
