Peildatum;Netbeheerder;Provincie;Gemeente;CBS_Buurt;CBS_Buurtcode;Aantal_aansluitingen_in_CBS-buurt;Aantal_aansluitingen_met_opwekinstallatie;Opgesteld_vermogen;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;MeestVoorkomendePostcode_113;HuishoudensTotaal_28;GemiddeldeHuishoudensgrootte_32;Bevolkingsdichtheid_33;GemiddeldeWOZWaardeVanWoningen_35;PercentageEengezinswoning_36;Koopwoningen_40;InBezitWoningcorporatie_42;InBezitOverigeVerhuurders_43;BouwjaarVanaf2000_46;Gemiddeld_opleidingsniveau;Bedrijfsvestigingen_per_huishuidens;PersonenautoSPerHuishouden_102;AfstandTotSchool_108;Omgevingsadressendichtheid_116
202007,0;Enexis;Drenthe;Aa en Hunze;Annen;16800000,0;1491,0;447,0;1866,0;Annen;Aa en Hunze;Buurt;9468;1495;2,3;1370,0;246,0;90,0;73,0;20,0;6,0;12,0;2,102766798418972;0,18394648829431437;1,3;0,8;411,0
202007,0;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Annen;16800009,0;116,0;29,0;243,0;Verspreide huizen Annen;Aa en Hunze;Buurt;9468;65;2,3;13,0;474,0;100,0;97,0;0,0;3,0;32,0;2,1666666666666665;0,38461538461538464;1,7;2,0;60,0
202007,0;Enexis;Drenthe;Aa en Hunze;Eext;16800100,0;559,0;143,0;565,0;Eext;Aa en Hunze;Buurt;9463;535;2,3;734,0;259,0;98,0;83,0;14,0;3,0;6,0;2,1122448979591835;0,205607476635514;1,4;0,9;144,0
202007,0;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eext;16800109,0;127,0;24,0;150,0;Verspreide huizen Eext;Aa en Hunze;Buurt;9463;85;2,0;11,0;396,0;96,0;94,0;0,0;6,0;4,0;2,2;0,35294117647058826;1,5;2,1;36,0
202007,0;Enexis;Drenthe;Aa en Hunze;Anloo;16800200,0;127,0;29,0;129,0;Anloo;Aa en Hunze;Buurt;9467;140;2,2;553,0;305,0;97,0;81,0;14,0;4,0;6,0;2,1666666666666665;0,21428571428571427;1,5;0,4;126,0
202007,0;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anloo;16800209,0;61,0;15,0;71,0;Verspreide huizen Anloo;Aa en Hunze;Buurt;9467;50;2,1;15,0;396,0;100,0;88,0;8,0;4,0;67,0;2,3333333333333335;0,2;1,0;0,9;170,0
202007,0;Enexis;Drenthe;Aa en Hunze;Schipborg;16800500,0;210,0;81,0;353,0;Schipborg;Aa en Hunze;Buurt;9469;250;2,1;555,0;403,0;100,0;93,0;4,0;3,0;6,0;2,4;0,22;1,5;1,0;210,0
202007,0;Enexis;Drenthe;Aa en Hunze;Spijkerboor;16800700,0;52,0;17,0;72,0;Spijkerboor;Aa en Hunze;Buurt;9656;60;2,3;663,0;240,0;100,0;92,0;6,0;2,0;0,0;1,8461538461538463;0,16666666666666666;1,5;3,7;34,0
202007,0;Enexis;Drenthe;Aa en Hunze;Gasselte;16801400,0;693,0;132,0;611,0;Gasselte;Aa en Hunze;Buurt;9462;700;2,1;451,0;244,0;88,0;72,0;24,0;4,0;14,0;2,0545454545454547;0,16428571428571428;1,4;0,6;203,0
202007,0;Enexis;Drenthe;Aa en Hunze;Kostvlies;16801401,0;50,0;15,0;80,0;Kostvlies;Aa en Hunze;Buurt;9462;55;2,4;265,0;349,0;100,0;90,0;5,0;5,0;2,0;2,1818181818181817;0,2727272727272727;1,3;2,5;50,0
202007,0;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gasselte;16801409,0;194,0;34,0;306,0;Verspreide huizen Gasselte;Aa en Hunze;Buurt;9462;135;1,8;16,0;345,0;95,0;74,0;5,0;21,0;13,0;1,894736842105263;0,25925925925925924;1,1;2,2;61,0
202007,0;Enexis;Drenthe;Aa en Hunze;Gasselternijveen;16801500,0;855,0;198,0;739,0;Gasselternijveen;Aa en Hunze;Buurt;9514;795;2,3;920,0;179,0;97,0;61,0;36,0;3,0;9,0;1,8642857142857143;0,15723270440251572;1,3;0,6;216,0
202007,0;Enexis;Drenthe;Aa en Hunze;Gasselternijveenschemond;16801600,0;303,0;70,0;314,0;Gasselternijveenschemond;Aa en Hunze;Buurt;9515;275;2,2;268,0;205,0;98,0;82,0;13,0;5,0;10,0;2,0;0,2;1,3;1,8;126,0
202007,0;Enexis;Drenthe;Aa en Hunze;Gieten;16801700,0;2350,0;529,0;2143,0;Gieten;Aa en Hunze;Buurt;9461;2190;2,2;1200,0;238,0;91,0;67,0;28,0;5,0;11,0;2,039772727272727;0,1872146118721461;1,2;0,7;520,0
202007,0;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gieten;16801709,0;247,0;35,0;253,0;Verspreide huizen Gieten;Aa en Hunze;Buurt;9461;80;2,1;8,0;414,0;100,0;96,0;1,0;3,0;9,0;2,6666666666666665;0,3125;1,4;2,7;40,0
