WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;MeestVoorkomendePostcode_113;HuishoudensTotaal_28;GemiddeldeHuishoudensgrootte_32;Bevolkingsdichtheid_33;GemiddeldeWOZWaardeVanWoningen_35;PercentageEengezinswoning_36;Koopwoningen_40;InBezitWoningcorporatie_42;InBezitOverigeVerhuurders_43;BouwjaarVanaf2000_46;GemiddeldAardgasverbruikTotaal_55;Gemiddeld_opleidingsniveau;Percent_inkomensontvangers;Bedrijfsvestigingen_per_huishuidens;PersonenautoSPerHuishouden_102;AfstandTotSchool_108;Omgevingsadressendichtheid_116
Annen;Aa en Hunze;Buurt;16800000;9468;1495;2,3;1370,0;246,0;90,0;73,0;20,0;6,0;12,0;;2,102766798418972;;0,18394648829431437;1,3;0,8;411,0
Verspreide huizen Annen;Aa en Hunze;Buurt;16800009;9468;65;2,3;13,0;474,0;100,0;97,0;0,0;3,0;32,0;;2,1666666666666665;;0,38461538461538464;1,7;2,0;60,0
Eext;Aa en Hunze;Buurt;16800100;9463;535;2,3;734,0;259,0;98,0;83,0;14,0;3,0;6,0;;2,1122448979591835;;0,205607476635514;1,4;0,9;144,0
Verspreide huizen Eext;Aa en Hunze;Buurt;16800109;9463;85;2,0;11,0;396,0;96,0;94,0;0,0;6,0;4,0;;2,2;;0,35294117647058826;1,5;2,1;36,0
Anloo;Aa en Hunze;Buurt;16800200;9467;140;2,2;553,0;305,0;97,0;81,0;14,0;4,0;6,0;;2,1666666666666665;;0,21428571428571427;1,5;0,4;126,0
Verspreide huizen Anloo;Aa en Hunze;Buurt;16800209;9467;50;2,1;15,0;396,0;100,0;88,0;8,0;4,0;67,0;;2,3333333333333335;;0,2;1,0;0,9;170,0
Gasteren;Aa en Hunze;Buurt;16800300;9466;175;2,2;716,0;346,0;96,0;93,0;4,0;2,0;6,0;;;;0,3142857142857143;1,5;2,7;53,0
Verspreide huizen Gasteren;Aa en Hunze;Buurt;16800309;9466;1;3,3;2,0;;;;;;;;;;5,0;;2,0;22,0
Anderen;Aa en Hunze;Buurt;16800400;9465;90;2,3;515,0;341,0;100,0;86,0;7,0;7,0;9,0;;;;0,3333333333333333;1,8;4,2;33,0
Verspreide huizen Anderen;Aa en Hunze;Buurt;16800409;9465;10;2,9;3,0;;;;;;;;;;0,5;;3,6;16,0
Schipborg;Aa en Hunze;Buurt;16800500;9469;250;2,1;555,0;403,0;100,0;93,0;4,0;3,0;6,0;;2,4;;0,22;1,5;1,0;210,0
Verspreide huizen Schipborg;Aa en Hunze;Buurt;16800509;9469;25;2,3;12,0;341,0;100,0;77,0;0,0;23,0;32,0;;2,0;;0,2;;1,4;184,0
Eexterveen;Aa en Hunze;Buurt;16800600;9658;175;2,6;364,0;261,0;96,0;88,0;3,0;9,0;17,0;;;;0,2857142857142857;1,7;0,5;40,0
Verspreide huizen Eexterveen;Aa en Hunze;Buurt;16800609;9658;5;2,0;2,0;;;;;;;;;;0,0;;1,1;27,0
Spijkerboor;Aa en Hunze;Buurt;16800700;9656;60;2,3;663,0;240,0;100,0;92,0;6,0;2,0;0,0;;1,8461538461538463;;0,16666666666666666;1,5;3,7;34,0
Verspreide huizen Spijkerboor;Aa en Hunze;Buurt;16800709;.;1;;;;;;;;;;;;0,0;;;
Nieuw-Annerveen;Aa en Hunze;Buurt;16800800;9657;40;2,4;212,0;289,0;100,0;98,0;0,0;2,0;2,0;;;;0,25;;2,8;21,0
