Peildatum,Netbeheerder,Provincie,Gemeente,CBS_Buurt,CBS_Buurtcode,Aantal_aansluitingen_in_CBS-buurt,Aantal_aansluitingen_met_opwekinstallatie,Opgesteld_vermogen,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
202007.0,Enexis,Drenthe,Aa en Hunze,Annen,16800000.0,1491.0,447.0,1866.0,Annen,Aa en Hunze,Buurt,9468,1490,2.3,1367.0,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.098425196850393,0.8115942028985508,0.174496644295302,1.3,0.8,407.0
202007.0,Enexis,Drenthe,Aa en Hunze,Verspreide huizen Annen,16800009.0,116.0,29.0,243.0,Verspreide huizen Annen,Aa en Hunze,Buurt,9468,65,2.3,12.0,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,0.4615384615384615,1.6,2.0,59.0
202007.0,Enexis,Drenthe,Aa en Hunze,Eext,16800100.0,559.0,143.0,565.0,Eext,Aa en Hunze,Buurt,9463,535,2.3,730.0,241.0,98.0,83.0,14.0,3.0,6.0,3070.0,1760.0,2.114583333333333,0.8032128514056225,0.1962616822429906,1.4,0.9,144.0
202007.0,Enexis,Drenthe,Aa en Hunze,Verspreide huizen Eext,16800109.0,127.0,24.0,150.0,Verspreide huizen Eext,Aa en Hunze,Buurt,9463,90,1.9,11.0,353.0,96.0,90.0,0.0,10.0,4.0,3400.0,2170.0,2.2,1.1428571428571428,0.2777777777777778,1.3,2.1,36.0
202007.0,Enexis,Drenthe,Aa en Hunze,Anloo,16800200.0,127.0,29.0,129.0,Anloo,Aa en Hunze,Buurt,9467,145,2.2,578.0,292.0,97.0,81.0,14.0,5.0,6.0,3140.0,1960.0,2.1923076923076925,0.8955223880597015,0.2413793103448276,1.4,0.4,126.0
202007.0,Enexis,Drenthe,Aa en Hunze,Schipborg,16800500.0,210.0,81.0,353.0,Schipborg,Aa en Hunze,Buurt,9469,255,2.1,554.0,367.0,100.0,93.0,4.0,3.0,5.0,3170.0,2040.0,2.4390243902439024,0.9345794392523364,0.2156862745098039,1.5,1.0,208.0
202007.0,Enexis,Drenthe,Aa en Hunze,Spijkerboor,16800700.0,52.0,17.0,72.0,Spijkerboor,Aa en Hunze,Buurt,9656,60,2.4,691.0,228.0,100.0,92.0,6.0,2.0,0.0,3650.0,1730.0,1.9230769230769231,0.6451612903225806,0.1666666666666666,1.5,3.7,34.0
202007.0,Enexis,Drenthe,Aa en Hunze,Gasselte,16801400.0,693.0,132.0,611.0,Gasselte,Aa en Hunze,Buurt,9462,695,2.2,450.0,226.0,88.0,72.0,24.0,4.0,14.0,3060.0,1740.0,2.036036036036036,0.8637873754152824,0.1654676258992805,1.4,0.6,203.0
202007.0,Enexis,Drenthe,Aa en Hunze,Kostvlies,16801401.0,50.0,15.0,80.0,Kostvlies,Aa en Hunze,Buurt,9462,55,2.4,252.0,337.0,100.0,89.0,5.0,5.0,0.0,3820.0,2250.0,2.1,0.7407407407407407,0.3636363636363636,1.6,2.5,50.0
202007.0,Enexis,Drenthe,Aa en Hunze,Gasselternijveen,16801500.0,855.0,198.0,739.0,Gasselternijveen,Aa en Hunze,Buurt,9514,780,2.3,905.0,169.0,97.0,61.0,37.0,2.0,8.0,2940.0,1630.0,1.8652482269503543,0.7843137254901961,0.1602564102564102,1.3,0.6,215.0
